Vardas         Pavarde             p1   p2   p3   p4   p5   p6   p7   p8   p9   p10  p11  p12  p13  p14  p15  egz  
Vardas1038     Pavarde1038         7    10   4    8    10   10   1    1    2    3    5    8    8    2    4    6    
Vardas1039     Pavarde1039         4    7    3    2    8    1    4    4    6    1    2    9    7    7    9    8    
Vardas1040     Pavarde1040         4    10   6    4    3    2    4    5    10   8    8    7    5    6    7    9    
Vardas1041     Pavarde1041         4    1    10   10   3    8    4    9    10   5    7    1    3    1    1    7    
Vardas1042     Pavarde1042         2    7    7    7    8    4    4    2    5    1    10   4    6    1    2    5    
Vardas1043     Pavarde1043         10   9    4    7    9    10   8    10   10   2    7    5    10   4    3    8    
Vardas1044     Pavarde1044         10   9    2    5    2    1    10   8    1    2    1    9    8    3    4    6    
Vardas1045     Pavarde1045         8    10   1    7    3    3    9    2    1    8    9    1    9    3    10   8    
Vardas1046     Pavarde1046         4    9    3    7    9    6    2    5    5    9    7    2    6    1    5    8    
Vardas1047     Pavarde1047         7    3    2    3    8    7    8    8    2    8    6    7    10   4    1    8    
Vardas1048     Pavarde1048         9    7    2    5    8    3    9    3    5    1    10   2    7    6    5    2    
Vardas1049     Pavarde1049         10   1    5    2    8    2    9    4    5    1    2    6    7    6    10   6    
Vardas1050     Pavarde1050         7    1    3    6    4    10   9    5    8    3    9    3    5    4    4    4    
Vardas1051     Pavarde1051         9    6    2    6    5    4    6    8    1    3    2    9    6    10   9    4    
Vardas1052     Pavarde1052         4    9    8    2    8    10   2    2    1    5    8    3    1    10   8    6    
Vardas1053     Pavarde1053         1    10   5    5    2    7    10   2    3    5    9    6    3    8    1    6    
Vardas1054     Pavarde1054         7    6    7    1    5    4    5    4    4    8    2    5    2    7    3    5    
Vardas1055     Pavarde1055         8    2    10   8    1    3    4    7    2    8    3    3    7    1    3    2    
Vardas1056     Pavarde1056         1    4    6    8    10   1    6    7    10   1    5    2    3    5    9    5    
Vardas1057     Pavarde1057         6    7    3    5    1    4    4    6    3    6    3    8    3    4    5    7    
Vardas1058     Pavarde1058         4    2    5    9    6    4    6    1    3    9    8    6    3    4    3    1    
Vardas1059     Pavarde1059         4    10   5    2    9    4    5    8    9    5    9    2    9    1    8    1    
Vardas1060     Pavarde1060         6    9    6    8    10   9    9    9    8    4    7    1    3    10   1    7    
Vardas1061     Pavarde1061         4    2    2    5    6    2    5    5    7    6    3    4    6    6    2    10   
Vardas1062     Pavarde1062         4    10   4    6    6    10   8    5    1    2    4    6    6    3    1    1    
Vardas1063     Pavarde1063         6    3    5    9    9    9    6    4    10   4    4    3    8    10   5    6    
Vardas1064     Pavarde1064         6    9    7    4    9    4    7    1    7    6    2    7    10   1    3    8    
Vardas1065     Pavarde1065         10   9    9    3    3    10   8    5    5    10   10   2    9    10   9    2    
Vardas1066     Pavarde1066         7    6    7    6    5    2    6    4    3    1    3    8    2    8    9    4    
Vardas1067     Pavarde1067         3    9    6    3    3    9    3    8    4    8    4    6    9    3    2    4    
Vardas1068     Pavarde1068         6    3    8    6    2    4    1    5    7    4    2    3    4    6    9    7    
Vardas1069     Pavarde1069         3    2    4    1    4    6    5    4    8    4    10   10   6    10   2    6    
Vardas1070     Pavarde1070         2    6    2    10   1    1    2    2    7    1    7    3    8    5    9    4    
Vardas1071     Pavarde1071         5    10   7    9    10   6    4    9    8    6    3    7    3    7    1    9    
Vardas1072     Pavarde1072         2    7    5    2    7    5    6    3    2    2    7    6    9    5    6    2    
Vardas1073     Pavarde1073         7    3    7    10   4    10   2    1    7    8    9    2    8    8    9    2    
Vardas1074     Pavarde1074         7    4    5    3    10   3    7    1    10   9    2    6    10   10   5    7    
Vardas1075     Pavarde1075         2    6    3    7    5    8    2    8    10   4    8    9    6    6    9    1    
Vardas1076     Pavarde1076         10   1    1    8    3    6    8    6    6    2    4    8    3    4    6    9    
Vardas1077     Pavarde1077         5    7    9    6    6    1    4    7    8    2    10   4    6    4    7    8    
Vardas1078     Pavarde1078         9    2    3    3    2    2    1    8    5    9    6    5    8    8    2    8    
Vardas1079     Pavarde1079         5    2    4    1    6    10   7    5    8    8    5    3    4    4    9    2    
Vardas1080     Pavarde1080         7    8    1    8    4    2    9    9    4    10   1    5    8    3    1    8    
Vardas1081     Pavarde1081         9    7    8    6    2    6    10   4    8    2    6    3    4    5    1    7    
Vardas1082     Pavarde1082         8    8    9    3    9    7    4    8    4    7    7    6    1    6    9    10   
Vardas1083     Pavarde1083         2    5    6    7    5    1    5    2    9    6    6    7    8    10   7    1    
Vardas1084     Pavarde1084         6    1    5    7    10   4    4    10   8    4    1    1    4    7    2    3    
Vardas1085     Pavarde1085         7    5    4    7    1    3    10   6    1    8    7    3    2    1    3    2    
Vardas1086     Pavarde1086         3    5    3    3    10   9    8    3    9    8    3    8    5    6    7    9    
Vardas1087     Pavarde1087         4    7    6    1    5    5    2    8    4    2    2    1    7    7    5    5    
Vardas1088     Pavarde1088         7    8    1    9    8    6    2    3    6    2    2    5    2    10   8    6    
Vardas1089     Pavarde1089         8    6    1    9    1    4    3    8    1    1    1    3    2    3    4    9    
Vardas1090     Pavarde1090         1    7    7    7    5    6    7    10   1    7    6    7    8    6    10   3    
Vardas1091     Pavarde1091         8    9    1    3    7    9    2    5    7    4    4    10   1    7    10   10   
Vardas1092     Pavarde1092         10   5    7    9    9    6    9    9    9    9    3    4    2    2    1    2    
Vardas1093     Pavarde1093         1    2    1    2    2    4    5    1    8    9    7    7    9    9    7    8    
Vardas1094     Pavarde1094         9    10   2    6    5    8    9    2    2    10   3    2    2    3    8    3    
Vardas1095     Pavarde1095         8    2    2    10   9    8    5    6    6    9    8    5    6    10   4    9    
Vardas1096     Pavarde1096         10   3    4    10   3    3    3    3    4    7    9    2    6    8    1    7    
Vardas1097     Pavarde1097         6    9    2    7    2    5    10   1    2    1    9    1    10   9    3    6    
Vardas1098     Pavarde1098         10   9    9    1    7    6    9    5    1    9    5    10   1    9    10   8    
Vardas1099     Pavarde1099         10   6    1    10   7    10   6    8    2    1    5    4    7    1    6    4    
Vardas1100     Pavarde1100         4    4    9    6    4    5    5    1    9    3    7    3    1    1    1    2    
Vardas1101     Pavarde1101         10   8    9    7    7    4    3    7    3    4    2    3    1    1    5    5    
Vardas1102     Pavarde1102         9    7    8    4    7    1    9    9    5    5    10   5    5    3    4    8    
Vardas1103     Pavarde1103         5    1    8    3    8    7    2    3    10   10   1    7    7    7    5    5    
Vardas1104     Pavarde1104         4    1    10   9    5    5    8    3    6    1    4    4    4    3    8    3    
Vardas1105     Pavarde1105         1    2    4    8    9    10   5    5    2    10   7    7    1    5    4    10   
Vardas1106     Pavarde1106         6    10   3    7    7    9    10   4    9    9    7    9    1    8    9    4    
Vardas1107     Pavarde1107         4    2    9    2    6    1    7    9    8    1    8    1    2    6    1    5    
Vardas1108     Pavarde1108         2    5    6    9    9    8    2    2    4    3    5    8    9    1    7    8    
Vardas1109     Pavarde1109         1    7    6    2    5    1    3    7    7    7    6    9    5    9    2    4    
Vardas1110     Pavarde1110         8    3    1    9    3    2    10   1    10   7    6    7    9    2    1    4    
Vardas1111     Pavarde1111         5    5    5    10   2    5    9    2    6    1    2    5    6    4    2    5    
Vardas1112     Pavarde1112         9    8    8    5    8    2    3    9    8    5    8    1    10   1    5    3    
Vardas1113     Pavarde1113         8    3    6    4    7    5    8    10   1    4    5    6    1    6    4    3    
Vardas1114     Pavarde1114         6    8    8    9    2    3    9    7    7    5    7    4    6    7    1    2    
Vardas1115     Pavarde1115         6    2    1    1    7    8    5    1    1    4    5    5    3    8    10   6    
Vardas1116     Pavarde1116         4    2    1    4    2    3    2    8    2    5    2    8    8    3    7    10   
Vardas1117     Pavarde1117         8    5    10   7    9    5    7    1    4    8    3    4    3    2    8    7    
Vardas1118     Pavarde1118         4    1    1    9    7    7    1    4    2    8    7    2    9    2    4    5    
Vardas1119     Pavarde1119         2    9    3    8    9    10   3    5    8    10   3    5    9    7    3    10   
Vardas1120     Pavarde1120         9    2    4    9    9    3    4    5    2    1    10   1    4    6    8    1    
Vardas1121     Pavarde1121         5    8    4    5    4    4    1    9    6    1    9    10   3    8    9    5    
Vardas1122     Pavarde1122         6    10   5    7    4    8    2    9    6    1    9    5    8    2    3    4    
Vardas1123     Pavarde1123         7    8    9    1    6    4    6    5    9    2    3    8    4    3    1    5    
Vardas1124     Pavarde1124         6    5    10   4    7    3    7    3    9    8    10   8    6    5    4    7    
Vardas1125     Pavarde1125         2    2    1    8    9    6    6    1    5    1    9    8    4    10   5    6    
Vardas1126     Pavarde1126         6    3    4    3    8    3    6    2    4    10   7    2    1    1    1    9    
Vardas1127     Pavarde1127         5    9    10   6    2    2    3    3    8    1    9    9    8    6    4    7    
Vardas1128     Pavarde1128         4    9    1    3    10   6    9    3    10   10   10   1    7    3    4    2    
Vardas1129     Pavarde1129         1    5    7    9    2    5    5    8    5    7    1    2    7    4    4    6    
Vardas1130     Pavarde1130         5    2    8    9    4    4    8    3    2    9    5    9    5    5    1    8    
Vardas1131     Pavarde1131         4    5    9    7    5    2    6    9    6    9    9    8    10   3    1    5    
Vardas1132     Pavarde1132         6    2    2    1    10   7    7    3    5    8    6    8    5    2    8    1    
Vardas1133     Pavarde1133         4    6    6    5    4    2    2    5    6    5    4    6    2    2    3    9    
Vardas1134     Pavarde1134         10   4    2    7    6    9    4    4    6    5    10   4    1    2    7    6    
Vardas1135     Pavarde1135         4    4    4    2    1    10   7    4    9    5    6    1    1    9    1    10   
Vardas1136     Pavarde1136         10   7    7    2    10   4    10   1    5    4    5    1    6    4    8    3    
Vardas1137     Pavarde1137         4    10   6    6    2    6    1    2    5    9    6    6    2    10   7    8    
Vardas1138     Pavarde1138         1    1    1    6    10   9    9    9    5    1    3    3    1    3    4    10   
Vardas1139     Pavarde1139         3    1    4    9    4    10   1    6    8    3    9    1    7    2    4    4    
Vardas1140     Pavarde1140         2    7    7    1    3    1    6    4    6    4    2    7    3    3    5    2    
Vardas1141     Pavarde1141         10   9    7    4    3    5    7    8    6    7    6    8    2    10   7    7    
Vardas1142     Pavarde1142         3    1    1    10   1    5    7    4    2    3    8    6    1    7    1    10   
Vardas1143     Pavarde1143         4    9    5    7    5    2    2    2    6    5    8    1    10   10   2    9    
Vardas1144     Pavarde1144         7    4    8    8    1    3    1    10   10   6    6    8    5    4    8    2    
Vardas1145     Pavarde1145         8    9    7    2    10   7    1    9    7    5    9    9    10   9    7    10   
Vardas1146     Pavarde1146         1    3    10   1    3    5    4    2    7    7    1    7    1    1    4    6    
Vardas1147     Pavarde1147         4    10   5    2    5    1    9    7    3    10   2    7    9    6    10   6    
Vardas1148     Pavarde1148         2    8    4    4    5    8    4    4    4    8    1    2    5    8    9    1    
Vardas1149     Pavarde1149         9    3    1    4    8    3    1    7    9    3    6    1    8    9    3    3    
Vardas1150     Pavarde1150         5    10   2    10   2    1    6    7    4    8    7    7    8    5    7    9    
Vardas1151     Pavarde1151         3    4    1    5    4    9    9    5    7    3    5    9    5    3    1    6    
Vardas1152     Pavarde1152         1    4    7    6    1    5    2    3    7    8    7    10   9    9    8    8    
Vardas1153     Pavarde1153         5    2    3    6    9    8    8    5    3    4    2    7    8    5    5    6    
Vardas1154     Pavarde1154         1    8    5    10   6    1    9    6    1    1    9    10   1    9    1    10   
Vardas1155     Pavarde1155         1    9    2    10   6    9    3    4    4    3    5    2    4    1    1    9    
Vardas1156     Pavarde1156         10   10   1    3    7    9    1    7    10   3    9    1    5    1    8    10   
Vardas1157     Pavarde1157         8    2    8    8    8    6    6    6    7    10   10   3    7    4    8    5    
Vardas1158     Pavarde1158         3    10   3    9    3    5    5    9    5    2    9    5    7    8    2    7    
Vardas1159     Pavarde1159         9    2    2    7    8    1    4    7    8    10   6    1    6    2    4    10   
Vardas1160     Pavarde1160         10   6    10   8    10   6    1    8    8    1    5    7    5    3    8    5    
Vardas1161     Pavarde1161         1    6    9    6    9    9    1    4    6    6    1    7    8    6    1    3    
Vardas1162     Pavarde1162         2    2    6    1    5    5    1    6    3    5    5    7    6    6    10   10   
Vardas1163     Pavarde1163         5    10   1    3    7    7    5    2    9    8    2    8    2    9    7    6    
Vardas1164     Pavarde1164         10   6    7    4    1    8    2    7    6    1    10   4    8    4    10   10   
Vardas1165     Pavarde1165         5    4    6    6    5    2    4    9    5    9    9    7    1    9    8    5    
Vardas1166     Pavarde1166         3    8    3    9    1    10   3    7    10   7    10   8    4    2    3    10   
Vardas1167     Pavarde1167         10   5    7    9    9    8    5    3    9    7    1    5    1    3    10   10   
Vardas1168     Pavarde1168         2    6    8    7    10   9    6    9    7    9    10   7    7    2    2    2    
Vardas1169     Pavarde1169         5    4    7    5    8    10   2    10   10   7    10   3    3    3    10   5    
Vardas1170     Pavarde1170         9    2    9    2    1    8    6    10   4    3    7    10   2    7    9    8    
Vardas1171     Pavarde1171         3    6    4    10   10   5    4    10   5    2    8    9    3    6    4    7    
Vardas1172     Pavarde1172         7    8    4    10   3    10   5    4    7    3    5    9    10   2    7    1    
Vardas1173     Pavarde1173         9    7    3    2    8    3    8    6    5    8    1    5    9    7    1    5    
Vardas1174     Pavarde1174         4    8    2    4    6    1    10   5    9    5    4    4    2    9    4    4    
Vardas1175     Pavarde1175         4    6    4    4    7    9    8    3    6    10   5    3    4    8    6    2    
Vardas1176     Pavarde1176         3    3    7    6    1    4    3    4    7    3    1    6    9    8    6    1    
Vardas1177     Pavarde1177         1    8    5    1    10   7    4    3    4    7    9    8    9    2    9    2    
Vardas1178     Pavarde1178         2    4    4    5    5    8    9    3    4    3    9    5    1    2    1    6    
Vardas1179     Pavarde1179         1    3    10   9    2    10   4    2    6    7    2    7    9    4    6    1    
Vardas1180     Pavarde1180         6    4    5    3    7    2    3    10   3    3    10   3    5    2    1    3    
Vardas1181     Pavarde1181         3    5    9    2    5    7    6    2    6    4    6    10   5    4    2    4    
Vardas1182     Pavarde1182         4    1    8    6    10   10   3    2    3    8    1    3    8    5    6    5    
Vardas1183     Pavarde1183         9    3    2    3    10   2    6    8    9    7    2    9    3    5    4    5    
Vardas1184     Pavarde1184         1    3    10   1    3    8    6    7    9    5    6    4    9    6    9    1    
Vardas1185     Pavarde1185         10   10   9    4    4    3    4    7    4    8    6    4    7    8    4    2    
Vardas1186     Pavarde1186         6    5    1    2    7    5    8    10   7    9    3    2    1    1    6    2    
Vardas1187     Pavarde1187         1    3    4    5    8    3    7    3    6    1    2    10   6    1    1    2    
Vardas1188     Pavarde1188         7    2    4    7    9    2    6    3    10   2    10   5    9    6    4    5    
Vardas1189     Pavarde1189         1    10   3    8    1    2    9    10   6    8    10   8    2    7    7    5    
Vardas1190     Pavarde1190         1    10   9    1    10   5    8    10   9    8    9    1    6    6    10   8    
Vardas1191     Pavarde1191         9    3    9    2    8    8    4    6    2    4    6    3    8    4    6    6    
Vardas1192     Pavarde1192         6    4    1    1    4    1    5    2    7    4    2    10   8    2    4    3    
Vardas1193     Pavarde1193         8    2    2    2    8    7    10   8    3    1    4    6    9    5    2    9    
Vardas1194     Pavarde1194         9    3    8    7    8    9    10   7    9    3    4    6    6    4    10   10   
Vardas1195     Pavarde1195         5    7    10   2    4    6    1    10   9    10   1    2    10   1    5    8    
Vardas1196     Pavarde1196         6    7    6    5    5    3    6    7    8    10   7    5    6    1    4    3    
Vardas1197     Pavarde1197         6    4    3    10   1    2    1    10   3    2    7    8    8    6    3    6    
Vardas1198     Pavarde1198         10   5    5    1    10   8    8    7    7    7    10   7    4    4    6    1    
Vardas1199     Pavarde1199         6    5    5    4    5    7    8    3    7    10   1    3    9    5    2    9    
Vardas1200     Pavarde1200         4    10   3    5    6    3    2    9    3    8    4    10   5    1    1    9    
Vardas1201     Pavarde1201         5    6    1    1    3    9    6    10   10   10   6    4    4    6    1    3    
Vardas1202     Pavarde1202         2    4    7    4    6    10   9    3    7    7    5    10   10   8    7    8    
Vardas1203     Pavarde1203         2    7    2    2    2    4    10   7    3    6    4    7    7    6    6    1    
Vardas1204     Pavarde1204         5    10   5    9    9    2    5    10   9    2    5    8    4    8    9    4    
Vardas1205     Pavarde1205         7    7    10   5    9    2    4    4    4    6    9    6    8    8    4    1    
Vardas1206     Pavarde1206         1    3    4    8    9    7    3    8    10   7    10   1    4    5    1    5    
Vardas1207     Pavarde1207         5    5    10   8    7    7    4    5    8    8    2    9    10   10   6    5    
Vardas1208     Pavarde1208         3    1    4    1    9    4    9    2    1    5    2    5    4    3    4    10   
Vardas1209     Pavarde1209         5    4    4    5    1    7    10   2    3    8    6    7    10   7    2    6    
Vardas1210     Pavarde1210         9    8    10   6    6    6    4    10   7    1    10   8    10   6    2    8    
Vardas1211     Pavarde1211         3    6    4    10   10   8    4    3    4    9    3    9    9    2    8    1    
Vardas1212     Pavarde1212         6    3    4    6    7    1    5    6    9    10   9    3    6    5    2    10   
Vardas1213     Pavarde1213         2    5    2    8    4    4    6    8    7    2    4    3    4    7    2    8    
Vardas1214     Pavarde1214         1    9    6    8    7    2    10   9    3    8    1    8    1    2    8    2    
Vardas1215     Pavarde1215         6    8    2    4    6    9    10   5    5    8    1    5    5    3    6    5    
Vardas1216     Pavarde1216         1    3    10   4    5    3    6    5    2    8    3    1    9    8    1    6    
Vardas1217     Pavarde1217         9    10   2    6    10   1    1    8    1    3    8    1    10   3    7    4    
Vardas1218     Pavarde1218         9    8    3    6    2    9    9    3    2    1    3    9    2    4    7    2    
Vardas1219     Pavarde1219         4    4    1    8    2    10   5    1    4    1    3    10   4    3    9    3    
Vardas1220     Pavarde1220         1    8    5    4    4    5    6    1    10   5    1    10   6    3    3    10   
Vardas1221     Pavarde1221         7    7    7    7    5    7    1    1    9    5    10   7    5    10   10   8    
Vardas1222     Pavarde1222         8    3    1    1    2    2    3    5    4    6    7    10   4    1    7    2    
Vardas1223     Pavarde1223         6    3    9    1    10   1    7    3    4    6    3    5    8    7    6    7    
Vardas1224     Pavarde1224         6    4    4    9    10   10   7    6    9    9    1    8    8    8    4    8    
Vardas1225     Pavarde1225         3    2    4    6    1    1    10   3    6    1    6    7    4    8    1    3    
Vardas1226     Pavarde1226         10   4    10   8    5    7    3    2    4    7    10   4    9    6    5    9    
Vardas1227     Pavarde1227         1    9    2    9    4    5    4    9    5    7    7    4    6    7    5    1    
Vardas1228     Pavarde1228         6    7    9    1    3    9    10   1    2    6    8    5    3    9    5    8    
Vardas1229     Pavarde1229         4    7    3    8    2    1    2    4    10   6    7    7    3    7    2    2    
Vardas1230     Pavarde1230         9    10   5    3    7    6    9    4    8    1    2    3    3    7    1    7    
Vardas1231     Pavarde1231         1    6    1    2    3    4    2    2    3    2    10   3    7    9    8    6    
Vardas1232     Pavarde1232         2    8    2    6    8    4    10   9    4    9    1    4    4    9    7    6    
Vardas1233     Pavarde1233         4    6    6    9    4    5    7    3    3    2    5    1    1    7    9    2    
Vardas1234     Pavarde1234         9    9    3    2    10   8    10   10   5    1    3    9    7    8    4    10   
Vardas1235     Pavarde1235         2    2    9    7    9    7    3    10   1    5    9    3    1    2    2    10   
Vardas1236     Pavarde1236         9    2    9    8    4    9    9    2    9    1    2    10   9    9    6    1    
Vardas1237     Pavarde1237         6    4    2    5    8    4    5    9    3    5    3    9    5    5    9    2    
Vardas1238     Pavarde1238         4    5    8    6    10   6    7    9    10   5    10   5    5    4    9    5    
Vardas1239     Pavarde1239         9    4    6    3    2    8    9    8    9    7    8    9    4    5    10   7    
Vardas1240     Pavarde1240         1    5    5    10   7    5    9    2    1    2    3    5    10   4    1    1    
Vardas1241     Pavarde1241         2    2    9    1    8    7    7    6    4    8    8    2    1    4    7    1    
Vardas1242     Pavarde1242         4    5    8    6    3    6    8    3    9    5    4    4    2    1    8    7    
Vardas1243     Pavarde1243         6    7    8    6    8    3    3    3    4    10   6    3    1    8    8    10   
Vardas1244     Pavarde1244         6    7    9    9    7    6    3    10   3    9    7    10   8    6    2    5    
Vardas1245     Pavarde1245         2    4    9    2    10   8    7    6    2    7    7    2    5    8    3    8    
Vardas1246     Pavarde1246         6    10   8    5    4    8    7    8    8    10   5    6    7    6    7    10   
Vardas1247     Pavarde1247         8    5    3    5    1    10   5    7    5    4    1    9    9    5    6    8    
Vardas1248     Pavarde1248         9    1    1    6    7    3    4    9    4    1    2    3    6    7    1    6    
Vardas1249     Pavarde1249         1    3    4    2    7    9    7    4    2    2    7    10   7    4    4    1    
Vardas1250     Pavarde1250         2    8    7    10   5    5    10   6    7    1    1    5    8    2    5    10   
Vardas1251     Pavarde1251         2    9    9    9    7    5    8    10   6    2    7    4    6    9    7    1    
Vardas1252     Pavarde1252         7    7    8    7    2    9    4    9    1    2    6    4    10   1    1    6    
Vardas1253     Pavarde1253         10   3    6    7    2    1    4    3    8    1    9    4    10   3    6    2    
Vardas1254     Pavarde1254         7    10   7    10   5    6    4    6    9    8    1    2    3    7    8    10   
Vardas1255     Pavarde1255         8    8    2    3    5    2    9    5    9    5    4    7    2    9    7    4    
Vardas1256     Pavarde1256         4    4    9    4    10   6    7    6    1    4    5    5    3    3    9    9    
Vardas1257     Pavarde1257         3    8    5    6    7    9    1    7    6    4    10   10   5    9    3    4    
Vardas1258     Pavarde1258         2    3    8    10   9    8    10   5    3    1    6    1    1    5    10   9    
Vardas1259     Pavarde1259         4    2    1    6    10   8    4    10   1    5    8    2    8    7    7    5    
Vardas1260     Pavarde1260         8    5    2    6    7    6    4    7    9    1    3    10   5    4    9    5    
Vardas1261     Pavarde1261         9    1    2    10   9    1    2    7    5    1    6    6    4    10   9    1    
Vardas1262     Pavarde1262         3    8    1    6    7    4    6    7    2    9    10   4    8    3    5    7    
Vardas1263     Pavarde1263         3    5    2    9    8    1    3    10   9    2    7    5    1    5    6    8    
Vardas1264     Pavarde1264         4    9    7    9    7    3    10   9    8    4    2    7    8    6    7    1    
Vardas1265     Pavarde1265         2    5    3    7    10   9    2    7    4    9    7    4    10   7    4    10   
Vardas1266     Pavarde1266         2    8    9    7    9    5    7    9    8    6    1    3    5    4    3    4    
Vardas1267     Pavarde1267         2    6    1    6    5    5    7    8    9    9    4    7    3    8    1    3    
Vardas1268     Pavarde1268         7    3    10   6    6    10   5    10   4    10   5    9    1    7    10   4    
Vardas1269     Pavarde1269         4    4    5    1    4    2    1    1    3    8    10   2    2    8    2    10   
Vardas1270     Pavarde1270         1    8    2    7    9    8    6    1    3    1    1    8    9    8    10   3    
Vardas1271     Pavarde1271         3    7    1    6    8    9    7    3    3    7    5    3    10   3    9    10   
Vardas1272     Pavarde1272         5    4    4    5    4    8    4    4    10   5    10   8    7    4    3    4    
Vardas1273     Pavarde1273         9    10   9    7    5    4    7    2    7    9    4    7    6    1    2    9    
Vardas1274     Pavarde1274         7    8    8    6    10   3    1    9    6    1    2    5    5    5    5    9    
Vardas1275     Pavarde1275         2    8    1    7    4    6    7    10   6    8    8    7    7    6    1    3    
Vardas1276     Pavarde1276         2    1    4    5    5    8    7    2    6    10   4    4    5    4    2    6    
Vardas1277     Pavarde1277         5    6    3    3    9    8    3    3    9    7    7    3    10   8    8    9    
Vardas1278     Pavarde1278         1    1    4    5    9    1    6    9    3    10   4    3    6    6    8    6    
Vardas1279     Pavarde1279         4    1    7    10   7    4    5    2    7    3    6    1    7    5    4    3    
Vardas1280     Pavarde1280         7    8    10   5    2    4    8    6    4    10   1    8    4    7    3    9    
Vardas1281     Pavarde1281         8    9    9    2    4    1    2    8    5    2    5    9    8    7    3    3    
Vardas1282     Pavarde1282         5    3    7    9    3    2    7    5    1    6    3    8    7    1    8    2    
Vardas1283     Pavarde1283         3    2    9    5    5    10   6    9    2    2    4    2    2    5    2    8    
Vardas1284     Pavarde1284         3    3    1    4    10   10   2    1    1    3    1    9    7    10   1    9    
Vardas1285     Pavarde1285         9    9    6    1    1    3    8    9    3    4    9    7    1    6    7    6    
Vardas1286     Pavarde1286         8    9    1    4    2    6    7    1    5    10   2    7    1    10   10   10   
Vardas1287     Pavarde1287         5    1    10   10   3    7    6    4    3    9    8    7    2    7    7    4    
Vardas1288     Pavarde1288         6    5    4    1    5    7    8    4    6    9    10   5    5    3    5    4    
Vardas1289     Pavarde1289         10   10   5    1    6    10   5    10   3    4    3    7    2    8    4    4    
Vardas1290     Pavarde1290         7    1    2    8    4    4    3    2    3    3    8    9    8    9    4    7    
Vardas1291     Pavarde1291         4    9    3    4    9    5    3    6    3    5    7    6    8    1    8    10   
Vardas1292     Pavarde1292         2    1    9    5    6    5    10   9    9    2    4    8    6    10   5    4    
Vardas1293     Pavarde1293         3    7    4    5    9    3    9    3    6    7    10   3    3    7    3    5    
Vardas1294     Pavarde1294         10   3    7    8    2    3    9    10   1    5    1    10   2    10   8    3    
Vardas1295     Pavarde1295         4    4    8    2    8    6    3    5    3    1    9    9    5    1    6    7    
Vardas1296     Pavarde1296         1    3    4    8    9    1    2    10   6    3    1    7    3    5    4    4    
Vardas1297     Pavarde1297         1    1    3    2    1    1    10   4    5    7    3    1    5    8    1    8    
Vardas1298     Pavarde1298         7    4    4    9    6    5    2    2    5    4    2    6    10   9    2    10   
Vardas1299     Pavarde1299         1    5    2    7    7    10   2    1    7    10   8    1    5    8    7    7    
Vardas1300     Pavarde1300         1    5    7    5    4    4    5    6    2    7    6    1    6    10   10   3    
Vardas1301     Pavarde1301         5    6    2    3    9    10   6    2    4    6    4    9    1    5    5    6    
Vardas1302     Pavarde1302         4    7    6    9    5    10   5    2    2    3    5    10   10   5    1    9    
Vardas1303     Pavarde1303         6    3    3    9    2    2    6    9    7    10   4    5    8    5    3    3    
Vardas1304     Pavarde1304         6    10   9    7    6    10   2    10   2    6    7    2    5    7    5    8    
Vardas1305     Pavarde1305         7    8    2    6    1    2    6    5    10   8    7    8    9    10   9    1    
Vardas1306     Pavarde1306         4    5    10   2    7    7    6    4    1    3    4    1    9    1    8    5    
Vardas1307     Pavarde1307         10   6    5    4    7    7    2    4    10   5    3    3    3    2    3    1    
Vardas1308     Pavarde1308         6    8    7    2    6    7    5    3    6    3    9    7    1    3    10   5    
Vardas1309     Pavarde1309         2    6    2    3    6    4    10   1    9    2    5    10   7    5    5    7    
Vardas1310     Pavarde1310         2    4    4    1    7    9    5    4    7    10   6    1    8    3    6    4    
Vardas1311     Pavarde1311         3    8    9    4    3    1    9    2    5    5    1    1    7    9    10   9    
Vardas1312     Pavarde1312         4    2    7    2    6    9    10   2    3    9    1    8    7    4    6    4    
Vardas1313     Pavarde1313         10   7    3    5    3    5    6    9    3    5    1    8    1    4    5    1    
Vardas1314     Pavarde1314         8    8    10   5    10   10   4    4    4    8    4    8    3    5    7    2    
Vardas1315     Pavarde1315         1    7    2    2    3    5    7    9    4    5    7    2    4    3    6    5    
Vardas1316     Pavarde1316         7    5    4    4    10   9    6    2    1    10   9    3    9    10   5    4    
Vardas1317     Pavarde1317         1    3    3    3    1    3    3    8    2    8    7    8    8    9    2    3    
Vardas1318     Pavarde1318         7    9    9    6    9    5    2    10   10   6    10   7    2    6    7    4    
Vardas1319     Pavarde1319         9    10   10   1    5    7    10   9    1    2    9    9    8    3    9    9    
Vardas1320     Pavarde1320         9    7    10   8    1    2    8    10   10   4    9    4    2    2    3    7    
Vardas1321     Pavarde1321         4    7    4    5    1    6    10   4    8    9    7    6    7    1    9    9    
Vardas1322     Pavarde1322         2    8    4    8    3    2    10   7    6    5    10   6    2    6    7    3    
Vardas1323     Pavarde1323         1    10   1    3    1    1    9    1    1    10   1    6    2    1    2    5    
Vardas1324     Pavarde1324         8    2    7    2    8    7    4    4    1    9    7    7    2    3    8    6    
Vardas1325     Pavarde1325         4    3    3    3    6    5    7    5    7    4    4    10   10   6    4    3    
Vardas1326     Pavarde1326         9    4    3    10   3    1    8    9    10   3    1    3    3    8    1    5    
Vardas1327     Pavarde1327         2    3    3    1    4    9    2    8    5    9    2    5    7    7    7    4    
